"Úrkoma á nokkrum stöðum 1949-2017"

"Mælistöð";"Mánuður";"2000 Heildarúrkoma mánaðarins/ársins";"2000 Mesta sólarhringsúrkoma sem mældist í mánuðinum/árinu (mælt kl. 09 að morgni)";"2001 Heildarúrkoma mánaðarins/ársins";"2001 Mesta sólarhringsúrkoma sem mældist í mánuðinum/árinu (mælt kl. 09 að morgni)";"2002 Heildarúrkoma mánaðarins/ársins";"2002 Mesta sólarhringsúrkoma sem mældist í mánuðinum/árinu (mælt kl. 09 að morgni)";"2003 Heildarúrkoma mánaðarins/ársins";"2003 Mesta sólarhringsúrkoma sem mældist í mánuðinum/árinu (mælt kl. 09 að morgni)";"2004 Heildarúrkoma mánaðarins/ársins";"2004 Mesta sólarhringsúrkoma sem mældist í mánuðinum/árinu (mælt kl. 09 að morgni)";"2005 Heildarúrkoma mánaðarins/ársins";"2005 Mesta sólarhringsúrkoma sem mældist í mánuðinum/árinu (mælt kl. 09 að morgni)";"2006 Heildarúrkoma mánaðarins/ársins";"2006 Mesta sólarhringsúrkoma sem mældist í mánuðinum/árinu (mælt kl. 09 að morgni)";"2007 Heildarúrkoma mánaðarins/ársins";"2007 Mesta sólarhringsúrkoma sem mældist í mánuðinum/árinu (mælt kl. 09 að morgni)";"2008 Heildarúrkoma mánaðarins/ársins";"2008 Mesta sólarhringsúrkoma sem mældist í mánuðinum/árinu (mælt kl. 09 að morgni)";"2009 Heildarúrkoma mánaðarins/ársins";"2009 Mesta sólarhringsúrkoma sem mældist í mánuðinum/árinu (mælt kl. 09 að morgni)";"2010 Heildarúrkoma mánaðarins/ársins";"2010 Mesta sólarhringsúrkoma sem mældist í mánuðinum/árinu (mælt kl. 09 að morgni)";"2011 Heildarúrkoma mánaðarins/ársins";"2011 Mesta sólarhringsúrkoma sem mældist í mánuðinum/árinu (mælt kl. 09 að morgni)";"2012 Heildarúrkoma mánaðarins/ársins";"2012 Mesta sólarhringsúrkoma sem mældist í mánuðinum/árinu (mælt kl. 09 að morgni)";"2013 Heildarúrkoma mánaðarins/ársins";"2013 Mesta sólarhringsúrkoma sem mældist í mánuðinum/árinu (mælt kl. 09 að morgni)";"2014 Heildarúrkoma mánaðarins/ársins";"2014 Mesta sólarhringsúrkoma sem mældist í mánuðinum/árinu (mælt kl. 09 að morgni)";"2015 Heildarúrkoma mánaðarins/ársins";"2015 Mesta sólarhringsúrkoma sem mældist í mánuðinum/árinu (mælt kl. 09 að morgni)";"2016 Heildarúrkoma mánaðarins/ársins";"2016 Mesta sólarhringsúrkoma sem mældist í mánuðinum/árinu (mælt kl. 09 að morgni)"
"Reykjavík";"Janúar";74.5;19.6;78.2;18.8;117.0;14.2;44.8;7.1;52.0;9.0;66.3;13.8;153.3;17.8;59.8;10.1;78.3;16.6;108.4;15.1;90.6;18.6;62.1;14.8;144.6;19.9;119.5;13.5;64.2;14.1;127.3;23.3;61.5;14.5
"Reykjavík";"Febrúar";85.0;18.3;80.8;10.2;42.0;9.5;157.5;18.3;64.8;7.9;105.2;30.1;86.7;19.3;41.6;18.4;135.0;21.2;52.7;12.6;26.4;9.3;107.7;18.8;135.0;11.5;104.1;19.7;13.6;4.4;93.2;25.9;65.1;19.3
"Reykjavík";"Mars";145.7;29.5;24.4;15.1;91.4;19.3;117.3;15.3;122.1;26.0;36.6;6.3;52.1;16.7;129.1;15.8;51.0;15.7;59.7;14.0;55.2;12.7;101.5;15.1;117.1;17.1;41.3;12.0;115.0;17.9;137.3;17.5;84.5;15.1
"Reykjavík";"Apríl";27.6;5.0;32.0;6.5;90.3;13.7;73.6;19.0;107.0;26.8;76.9;18.5;71.1;15.0;65.0;9.8;21.5;6.9;99.9;19.1;35.7;10.9;138.9;12.7;59.7;20.5;41.8;13.7;55.8;7.8;47.8;10.4;30.4;10.0
"Reykjavík";"Maí";47.8;13.3;87.1;16.9;23.0;5.2;39.9;16.7;69.8;16.8;13.8;6.1;33.3;10.5;28.1;6.2;31.3;6.3;66.0;10.7;29.5;8.2;66.2;38.8;19.4;5.5;44.9;8.3;47.6;9.1;32.3;7.1;28.0;10.8
"Reykjavík";"Júní";61.6;11.9;31.7;7.8;34.4;10.5;85.0;15.9;45.2;15.9;40.2;13.3;58.4;12.9;24.8;10.1;13.1;8.1;29.0;6.7;29.5;11.7;15.1;3.5;13.8;4.4;65.6;11.0;115.8;22.0;20.9;4.4;50.7;13.0
"Reykjavík";"Júlí";41.1;7.8;80.4;25.7;44.8;8.1;64.6;14.8;56.4;16.3;46.6;8.0;41.1;7.2;32.9;6.8;50.9;10.7;11.5;4.7;42.5;8.6;45.0;11.4;35.0;6.2;72.2;14.7;89.3;17.5;34.6;15.0;40.0;17.1
"Reykjavík";"Ágúst";70.7;28.2;63.4;21.5;76.8;19.1;75.5;19.4;59.8;16.8;72.0;10.4;42.5;9.0;96.3;23.2;82.0;10.3;52.0;11.7;54.9;16.4;23.1;5.7;66.4;15.6;86.3;21.2;57.8;37.6;66.2;14.7;33.4;7.9
"Reykjavík";"September";87.2;27.4;94.3;20.9;124.2;24.6;78.5;8.2;94.1;13.0;41.1;12.6;63.8;14.6;163.4;23.5;173.7;38.8;78.4;13.8;92.2;21.2;72.7;16.2;101.7;20.4;89.7;19.1;153.0;16.1;76.7;8.3;59.3;14.0
"Reykjavík";"Október";103.6;47.8;63.0;12.7;68.8;13.8;37.7;6.9;66.2;13.4;49.1;8.4;105.5;38.7;174.8;33.0;78.4;14.4;78.3;20.1;41.3;7.4;104.3;15.1;75.9;17.8;18.9;6.9;84.1;14.5;159.5;29.8;206.9;31.1
