"Sólskinsstundir á Akureyri og í Reykjavík 1949-2016"

"Mánuður";"2016 Reykjavík";"2016 Akureyri";"2015 Reykjavík";"2015 Akureyri";"2014 Reykjavík";"2014 Akureyri";"2013 Reykjavík";"2013 Akureyri";"2012 Reykjavík";"2012 Akureyri";"2011 Reykjavík";"2011 Akureyri";"2010 Reykjavík";"2010 Akureyri";"2009 Reykjavík";"2009 Akureyri";"2008 Reykjavík";"2008 Akureyri";"2007 Reykjavík";"2007 Akureyri";"2006 Reykjavík";"2006 Akureyri";"2005 Reykjavík";"2005 Akureyri";"2004 Reykjavík";"2004 Akureyri";"2003 Reykjavík";"2003 Akureyri";"2002 Reykjavík";"2002 Akureyri";"2001 Reykjavík";"2001 Akureyri";"2000 Reykjavík";"2000 Akureyri"
"Janúar";22.2;11.1;29.3;8.9;19.4;2.0;12.6;7.2;13.6;4.1;15.9;2.1;36.4;12.5;25.0;14.5;12.4;9.1;30.9;1.7;13.0;7.3;23.0;10.1;31.3;4.2;24.2;1.8;40.6;10.5;35.5;2.5;7.7;5.6
"Febrúar";86.5;48.5;34.3;28.7;96.3;11.6;54.3;43.2;37.1;38.6;55.5;39.3;87.3;34.2;59.4;35.9;57.0;16.3;126.3;39.5;57.5;42.6;37.7;53.5;62.0;38.0;38.9;32.8;108.1;25.7;91.8;28.2;52.7;23.5
"Mars";85.6;110.6;118.5;89.3;73.2;67.1;162.5;80.3;62.5;83.9;65.0;58.8;118.3;54.6;147.8;50.6;119.9;37.6;101.2;50.6;141.5;74.5;89.2;109.1;104.8;72.5;103.4;102.2;116.0;81.7;125.7;94.4;69.6;62.0
"Apríl";202.5;154.2;149.4;140.2;146.2;147.4;229.1;126.8;153.5;134.8;114.3;150.2;175.4;147.5;138.9;81.8;207.2;151.0;141.8;150.8;219.5;113.7;168.3;100.1;167.5;82.9;120.0;88.9;142.7;110.2;212.5;126.5;242.3;196.3
"Maí";145.9;213.2;277.9;99.8;189.0;151.2;204.3;135.3;296.3;287.4;228.7;120.4;218.5;177.1;281.7;210.6;140.8;136.1;282.4;123.7;272.3;188.1;317.7;246.1;178.1;114.0;282.9;214.5;239.4;160.7;130.6;168.7;185.7;175.8
"Júní";132.1;179.3;193.1;161.1;115.4;170.0;121.7;260.6;320.6;258.2;268.1;136.8;157.6;256.0;163.5;190.7;313.0;210.5;194.9;216.8;143.1;188.1;208.0;157.1;198.6;188.1;146.0;151.1;186.4;156.9;205.4;244.1;213.3;284.8
"Júlí";239.6;121.6;225.5;77.6;116.4;120.2;164.0;101.0;219.7;237.4;184.1;197.1;216.7;138.0;259.4;212.2;198.4;206.4;225.7;194.1;177.1;151.1;196.9;202.9;203.3;212.7;131.0;110.9;135.4;114.8;156.4;128.4;185.5;190.7
"Ágúst";192.5;148.3;158.0;104.5;188.4;162.5;135.3;99.9;164.0;194.3;216.1;115.6;196.5;103.8;213.9;86.4;161.7;163.4;205.6;132.3;159.3;142.7;168.4;83.8;248.3;209.0;158.2;126.4;126.7;95.6;202.4;131.6;112.9;149.8
"September";135.0;89.2;93.0;97.8;81.5;80.1;120.1;98.8;142.9;84.7;168.4;95.8;109.6;100.3;71.9;109.6;112.9;107.8;85.3;76.4;117.3;74.2;184.7;79.3;103.0;72.1;143.9;121.9;76.1;81.4;94.5;81.2;140.0;124.0
"Október";40.3;58.5;59.9;63.0;105.3;21.3;101.6;46.6;121.7;83.2;100.7;43.1;104.1;44.3;55.1;40.4;102.7;44.3;78.2;52.9;130.0;41.8;104.3;37.7;109.9;36.0;93.6;58.2;134.8;43.9;107.5;46.0;77.2;53.5
"Nóvember";18.1;15.2;42.3;25.5;27.9;11.9;35.4;13.5;33.3;7.9;35.2;19.2;74.2;26.9;44.8;18.2;29.8;6.6;25.1;19.1;43.5;9.9;38.8;16.2;26.9;22.6;57.6;16.2;52.6;11.3;18.9;8.2;75.5;10.1
"Desember";..;0.0;8.2;0.8;9.3;0.0;9.3;0.0;21.9;0.0;13.1;0.7;31.8;1.5;29.2;0.0;7.2;0.0;11.3;0.0;20.3;0.0;11.4;0.0;1.3;0.0;8.1;0.0;7.6;0.3;8.1;0.7;28.0;0.0
